Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2022-05-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","32041680","Reactive Blacks","Kgs","70.0","182.0","0.24"
"2022-10-01","Trinidad and Tobago","TTO","780","Americas","19","Latin America and the Caribbean","419","84151010","Split System Aircondtng Mchns,Cmprsng Motr-Drvn Fan And Elmnts Fr Chng Tmprtr And Humdty","Nos","0.04","14.18","0.02"
"2020-12-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","90321010","Thermostats Fr Rfrgtng And Air-Cndng Machnry","Nos","1.68","4.28","0.01"
"2017-05-01","Argentina","ARG","032","Americas","19","Latin America and the Caribbean","419","33019017","Nut Meg Oleoresins","Kgs","0.05","0.84","0.0"
"2019-11-01","United States of America","USA","840","Americas","19","Northern America","21","57024110","Crpts Of Wool/Fine Anml Hair","Sqm","117.97","1634.3","2.29"
"2023-01-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","29415000","Erthromycin And Its Drvtvs Slts Thereof","Kgs","6.5","518.66","0.63"
"2021-12-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","33019049","Othr Conc Of Esnl Oils In Fats/Fixd/Wax Obtained By Cold Absorption Or Maceration","Kgs","0.02","0.09","0.0"
"2021-04-01","Canada","CAN","124","Americas","19","Northern America","21","84689000","Parts Of Articles Of Heading 8468","Kgs","13.22","48.97","0.07"
"2021-04-01","Guyana","GUY","328","Americas","19","Latin America and the Caribbean","419","30042064","Azithromycin","Kgs","0.03","7.59","0.01"
"2020-04-01","Canada","CAN","124","Americas","19","Northern America","21","44219990","Other","Kgs","0.54","1.23","0.0"
"2018-10-01","Canada","CAN","124","Americas","19","Northern America","21","59119090","Others","Kgs","0.34","3.28","0.0"
"2024-03-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","63049999","Other Furnishing Articles Nec","Nos","4.27","4.72","0.01"
"2019-04-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","84212300","Oil/Prtl-Fltrs Fr Intrnl Cmbstn Engns","Nos","1.15","0.62","0.0"
"2020-02-01","Bahamas","BHS","044","Americas","19","Latin America and the Caribbean","419","87033291","Motor Car Cylndr Cpcty>1500 Cc Bt<=2500 Ccwth Cmprsn Igntn","Nos","0.01","42.9","0.06"
"2019-08-01","Panama","PAN","591","Americas","19","Latin America and the Caribbean","419","48239030","Plain Or Embossed Seals Made Of Paper Laminated Papr Or Papr Gaskets.","Kgs","0.13","0.17","0.0"
"2022-08-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","95030010","Electronic Toys Etc.","Nos","1.2","2.05","0.0"
"2021-02-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","32041216","Acid Greens(Azo)","Kgs","0.5","1.89","0.0"
"2020-06-01","United States of America","USA","840","Americas","19","Northern America","21","43023000","Whole Fur Skins And Pcs/Cutngs Throf Asmbld","Kgs","0.06","0.51","0.0"
"2016-07-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","91052900","Other Wall Clocks","Nos","2.15","8.85","0.01"
"2019-01-01","El Salvador","SLV","222","Americas","19","Latin America and the Caribbean","419","69072100","Of A Water Absorption Coefficient By Weight Not Exceeding 0.5%","Sqm","5.32","20.56","0.03"
