Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2021-05-01","United States of America","USA","840","Americas","19","Northern America","21","84714190","Othr Dgtl Automatc Data-Procesng Machine Comprisng A Central Procesng Unit And An Input And Output Unit Wh/Not Combi","Nos","0.01","153.0","0.21"
"2019-06-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","30049071","Captopril, Enalapril, Lisinopril, Perindopril And Ramipril","Kgs","0.22","11.47","0.02"
"2020-02-01","United States of America","USA","840","Americas","19","Northern America","21","24039910","Chewing Tobacco","Kgs","2.16","95.87","0.13"
"2021-02-01","Canada","CAN","124","Americas","19","Northern America","21","85447090","Optical Fibre Cables Other Thn Lead Alloy Sheathd Cables","Mtr","0.12","0.17","0.0"
"2022-05-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","62114210","*Kurta And Salwar Wth/Wthout Dupta Of Cotn","Nos","0.48","2.88","0.0"
"2018-12-01","United States of America","USA","840","Americas","19","Northern America","21","63079012","Dress Materials Of Silk,Hand Printed","Kgs","0.07","1.48","0.0"
"2017-11-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","61069090","Blouses Etc Of Other Fibres","Nos","0.29","0.83","0.0"
"2016-06-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","57024230","Carpets, Rugs And Mats Of Handloom","Sqm","1.32","6.71","0.01"
"2018-09-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","39269080","Polypropylene Articles,N.E.S.","Kgs","206.19","260.99","0.36"
"2023-01-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","29225090","Other Frusemide Aminodial Domperidone","Kgs","0.01","0.17","0.0"
"2018-05-01","Canada","CAN","124","Americas","19","Northern America","21","62042300","Ensembles Of Synthetic Fibres","Nos","1.44","8.75","0.01"
"2019-08-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","33019014","Turmeric Oleoresins","Kgs","0.03","2.71","0.0"
